Equipo,MetaEquipo,Tabla,Link
Granada,Granada,scores_and_fixtures,https://fbref.com/en/squads/a0435291/2019-2020/Granada-Stats#all_matchlogs
Las Palmas,Las_Palmas,scores_and_fixtures,https://fbref.com/en/squads/0049d422/2019-2020/Las-Palmas-Stats#all_matchlogs
Mallorca,Mallorca,scores_and_fixtures,https://fbref.com/en/squads/2aa12281/2019-2020/Mallorca-Stats#all_matchlogs
Osasuna,Osasuna,scores_and_fixtures,https://fbref.com/en/squads/03c57e2b/2019-2020/Osasuna-Stats#all_matchlogs
Rayo Vallecano,Rayo_Vallecano,scores_and_fixtures,https://fbref.com/en/squads/98e8af82/2019-2020/Rayo-Vallecano-Stats#all_matchlogs
Real Madrid,Real_Madrid,scores_and_fixtures,https://fbref.com/en/squads/53a2f082/2019-2020/Real-Madrid-Stats#all_matchlogs
Real Sociedad,Real_Sociedad,scores_and_fixtures,https://fbref.com/en/squads/e31d1cd9/2019-2020/Real-Sociedad-Stats#all_matchlogs
Sevilla,Sevilla,scores_and_fixtures,https://fbref.com/en/squads/ad2be733/2019-2020/Sevilla-Stats#all_matchlogs
Valencia,Valencia,scores_and_fixtures,https://fbref.com/en/squads/dcc91a7b/2019-2020/Valencia-Stats#all_matchlogs
Villarreal,Villarreal,scores_and_fixtures,https://fbref.com/en/squads/2a8183b3/2019-2020/Villarreal-Stats#all_matchlogs
Barcelona,Barcelona,scores_and_fixtures,https://fbref.com/en/squads/206d90db/2018-2019/Barcelona-Stats#all_matchlogs
Alavés,Alaves,scores_and_fixtures,https://fbref.com/en/squads/8d6fd021/2018-2019/Alaves-Stats#all_matchlogs
Almería,Almeria,scores_and_fixtures,https://fbref.com/en/squads/78ecf4bb/2018-2019/Almeria-Stats#all_matchlogs
Athletic Club,Athletic_Club,scores_and_fixtures,https://fbref.com/en/squads/2b390eca/2018-2019/Athletic-Club-Stats#all_matchlogs
Atlético Madrid,Atletico_Madrid,scores_and_fixtures,https://fbref.com/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats#all_matchlogs
Real Betis,Real_Betis,scores_and_fixtures,https://fbref.com/en/squads/fc536746/2018-2019/Real-Betis-Stats#all_matchlogs
Cádiz,Cadiz,scores_and_fixtures,https://fbref.com/en/squads/ee7c297c/2018-2019/Cadiz-Stats#all_matchlogs
Celta Vigo,Celta-Vigo,scores_and_fixtures,https://fbref.com/en/squads/f25da7fb/2018-2019/Celta-Vigo-Stats#all_matchlogs
Getafe,Getafe,scores_and_fixtures,https://fbref.com/en/squads/7848bd64/2018-2019/Getafe-Stats#all_matchlogs
Girona,Girona,scores_and_fixtures,https://fbref.com/en/squads/9024a00a/2018-2019/Girona-Stats#all_matchlogs
Granada,Granada,scores_and_fixtures,https://fbref.com/en/squads/a0435291/2018-2019/Granada-Stats#all_matchlogs
Las Palmas,Las_Palmas,scores_and_fixtures,https://fbref.com/en/squads/0049d422/2018-2019/Las-Palmas-Stats#all_matchlogs
Mallorca,Mallorca,scores_and_fixtures,https://fbref.com/en/squads/2aa12281/2018-2019/Mallorca-Stats#all_matchlogs
Osasuna,Osasuna,scores_and_fixtures,https://fbref.com/en/squads/03c57e2b/2018-2019/Osasuna-Stats#all_matchlogs
Rayo Vallecano,Rayo_Vallecano,scores_and_fixtures,https://fbref.com/en/squads/98e8af82/2018-2019/Rayo-Vallecano-Stats#all_matchlogs
Real Madrid,Real_Madrid,scores_and_fixtures,https://fbref.com/en/squads/53a2f082/2018-2019/Real-Madrid-Stats#all_matchlogs
Real Sociedad,Real_Sociedad,scores_and_fixtures,https://fbref.com/en/squads/e31d1cd9/2018-2019/Real-Sociedad-Stats#all_matchlogs
Sevilla,Sevilla,scores_and_fixtures,https://fbref.com/en/squads/ad2be733/2018-2019/Sevilla-Stats#all_matchlogs
Valencia,Valencia,scores_and_fixtures,https://fbref.com/en/squads/dcc91a7b/2018-2019/Valencia-Stats#all_matchlogs
Villarreal,Villarreal,scores_and_fixtures,https://fbref.com/en/squads/2a8183b3/2018-2019/Villarreal-Stats#all_matchlogs
Barcelona,Barcelona,scores_and_fixtures,https://fbref.com/en/squads/206d90db/2017-2018/Barcelona-Stats#all_matchlogs
Alavés,Alaves,scores_and_fixtures,https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats#all_matchlogs
Almería,Almeria,scores_and_fixtures,https://fbref.com/en/squads/78ecf4bb/2017-2018/Almeria-Stats#all_matchlogs
Athletic Club,Athletic_Club,scores_and_fixtures,https://fbref.com/en/squads/2b390eca/2017-2018/Athletic-Club-Stats#all_matchlogs
Atlético Madrid,Atletico_Madrid,scores_and_fixtures,https://fbref.com/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats#all_matchlogs
Real Betis,Real_Betis,scores_and_fixtures,https://fbref.com/en/squads/fc536746/2017-2018/Real-Betis-Stats#all_matchlogs
Cádiz,Cadiz,scores_and_fixtures,https://fbref.com/en/squads/ee7c297c/2017-2018/Cadiz-Stats#all_matchlogs
Celta Vigo,Celta-Vigo,scores_and_fixtures,https://fbref.com/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats#all_matchlogs
Getafe,Getafe,scores_and_fixtures,https://fbref.com/en/squads/7848bd64/2017-2018/Getafe-Stats#all_matchlogs
Girona,Girona,scores_and_fixtures,https://fbref.com/en/squads/9024a00a/2017-2018/Girona-Stats#all_matchlogs
Granada,Granada,scores_and_fixtures,https://fbref.com/en/squads/a0435291/2017-2018/Granada-Stats#all_matchlogs
Las Palmas,Las_Palmas,scores_and_fixtures,https://fbref.com/en/squads/0049d422/2017-2018/Las-Palmas-Stats#all_matchlogs
Mallorca,Mallorca,scores_and_fixtures,https://fbref.com/en/squads/2aa12281/2017-2018/Mallorca-Stats#all_matchlogs
Osasuna,Osasuna,scores_and_fixtures,https://fbref.com/en/squads/03c57e2b/2017-2018/Osasuna-Stats#all_matchlogs
Rayo Vallecano,Rayo_Vallecano,scores_and_fixtures,https://fbref.com/en/squads/98e8af82/2017-2018/Rayo-Vallecano-Stats#all_matchlogs
Real Madrid,Real_Madrid,scores_and_fixtures,https://fbref.com/en/squads/53a2f082/2017-2018/Real-Madrid-Stats#all_matchlogs
Real Sociedad,Real_Sociedad,scores_and_fixtures,https://fbref.com/en/squads/e31d1cd9/2017-2018/Real-Sociedad-Stats#all_matchlogs
Sevilla,Sevilla,scores_and_fixtures,https://fbref.com/en/squads/ad2be733/2017-2018/Sevilla-Stats#all_matchlogs
Valencia,Valencia,scores_and_fixtures,https://fbref.com/en/squads/dcc91a7b/2017-2018/Valencia-Stats#all_matchlogs
Villarreal,Villarreal,scores_and_fixtures,https://fbref.com/en/squads/2a8183b3/2017-2018/Villarreal-Stats#all_matchlogs
Barcelona,Barcelona,scores_and_fixtures,https://fbref.com/en/squads/206d90db/2016-2017/Barcelona-Stats#all_matchlogs
Alavés,Alaves,scores_and_fixtures,https://fbref.com/en/squads/8d6fd021/2016-2017/Alaves-Stats#all_matchlogs
Almería,Almeria,scores_and_fixtures,https://fbref.com/en/squads/78ecf4bb/2016-2017/Almeria-Stats#all_matchlogs
Athletic Club,Athletic_Club,scores_and_fixtures,https://fbref.com/en/squads/2b390eca/2016-2017/Athletic-Club-Stats#all_matchlogs
Atlético Madrid,Atletico_Madrid,scores_and_fixtures,https://fbref.com/en/squads/db3b9613/2016-2017/Atletico-Madrid-Stats#all_matchlogs
Real Betis,Real_Betis,scores_and_fixtures,https://fbref.com/en/squads/fc536746/2016-2017/Real-Betis-Stats#all_matchlogs
Cádiz,Cadiz,scores_and_fixtures,https://fbref.com/en/squads/ee7c297c/2016-2017/Cadiz-Stats#all_matchlogs
Celta Vigo,Celta-Vigo,scores_and_fixtures,https://fbref.com/en/squads/f25da7fb/2016-2017/Celta-Vigo-Stats#all_matchlogs
Getafe,Getafe,scores_and_fixtures,https://fbref.com/en/squads/7848bd64/2016-2017/Getafe-Stats#all_matchlogs
Girona,Girona,scores_and_fixtures,https://fbref.com/en/squads/9024a00a/2016-2017/Girona-Stats#all_matchlogs
Granada,Granada,scores_and_fixtures,https://fbref.com/en/squads/a0435291/2016-2017/Granada-Stats#all_matchlogs
Las Palmas,Las_Palmas,scores_and_fixtures,https://fbref.com/en/squads/0049d422/2016-2017/Las-Palmas-Stats#all_matchlogs
Mallorca,Mallorca,scores_and_fixtures,https://fbref.com/en/squads/2aa12281/2016-2017/Mallorca-Stats#all_matchlogs
Osasuna,Osasuna,scores_and_fixtures,https://fbref.com/en/squads/03c57e2b/2016-2017/Osasuna-Stats#all_matchlogs
Rayo Vallecano,Rayo_Vallecano,scores_and_fixtures,https://fbref.com/en/squads/98e8af82/2016-2017/Rayo-Vallecano-Stats#all_matchlogs
Real Madrid,Real_Madrid,scores_and_fixtures,https://fbref.com/en/squads/53a2f082/2016-2017/Real-Madrid-Stats#all_matchlogs
Real Sociedad,Real_Sociedad,scores_and_fixtures,https://fbref.com/en/squads/e31d1cd9/2016-2017/Real-Sociedad-Stats#all_matchlogs
